user_id,name,email,,home_canteen
1,test_1,test1@test.com,,1
2,test_2,test2@test.com,,1
3,test_3,test3@test.com,,1
4,test_4,test4@test.com,,1
5,test_5,test5@test.com,,2
6,test_6,test6@test.com,,2
7,test_7,test7@test.com,,1
8,test_8,test8@test.com,,1
9,test_9,test9@test.com,,1
10,test_10,test10@test.com,,1
11,test_11,test11@test.com,,1
12,test_12,test12@test.com,,1
13,test_13,test13@test.com,,1
14,test_14,test14@test.com,,1
15,test_15,test15@test.com,,1
16,test_16,test16@test.com,,1
17,test_17,test17@test.com,,1
18,test_18,test18@test.com,,1
19,test_19,test19@test.com,,2
20,test_20,test20@test.com,,2
